timestamp,heart_rate,resting_heart_rate,daily_steps,hours_sleep,stress_level,anomaly_label,id
01-01-2024 01:14,59,65,5973,7.61,4.1,0,1
01-01-2024 01:15,76,59,7436,7.07,2.8,0,1
01-01-2024 01:16,72,62,5586,8.16,3.9,0,1
01-01-2024 01:17,71,61,6179,7.2,4.1,0,1
01-01-2024 01:18,72,69,5987,7.1,3.7,0,1
01-01-2024 01:19,62,63,6951,6.85,2.7,0,1
01-01-2024 01:20,71,60,8022,7.07,3.3,0,1
01-01-2024 01:21,74,57,5575,6.92,3,0,1
01-01-2024 01:22,79,55,5608,7.35,2.4,0,1
01-01-2024 01:23,69,61,6835,7.48,3.2,0,1
01-01-2024 01:24,68,58,6546,6.61,2.2,0,1
01-01-2024 01:25,69,56,7477,6.33,3.8,0,1
01-01-2024 01:26,77,58,6467,6.08,2.7,0,1
01-01-2024 01:27,74,57,5713,7.25,3.1,0,1
01-01-2024 01:28,69,65,6473,6.45,3.2,0,1
01-01-2024 01:29,75,63,6887,5.92,2.8,0,1
01-01-2024 01:30,72,60,6656,7.19,3.4,0,1
01-01-2024 01:31,77,64,6406,8.25,2.7,0,2
01-01-2024 01:32,68,60,6853,7,3.6,0,2
01-01-2024 01:33,70,57,6935,7.42,2.1,0,2
01-01-2024 01:34,70,65,7106,7.04,3.1,0,2
01-01-2024 01:35,65,62,6519,6.95,4.4,0,2
01-01-2024 01:36,73,57,5866,7.46,2.3,0,2
01-01-2024 01:37,73,59,6117,6.85,2.5,0,2
01-01-2024 01:38,72,57,6965,7.13,3.4,0,2
01-01-2024 01:39,71,56,5346,7.16,3.1,0,2
01-01-2024 01:40,65,63,6295,6.67,3.2,0,2
01-01-2024 01:41,70,66,5685,7.5,3.3,0,2
01-01-2024 01:42,70,56,6023,6.91,3.4,0,2
01-01-2024 01:43,68,62,7023,6.62,3.8,0,2
01-01-2024 01:44,71,58,6153,7.27,3.3,0,2
01-01-2024 01:45,74,59,6037,6.55,2.8,0,2
01-01-2024 01:46,81,58,4912,7.01,3.5,0,2
01-01-2024 01:47,73,57,6597,7,4.3,0,2
01-01-2024 01:48,73,60,6516,7.54,2.9,0,2
01-01-2024 01:49,72,58,7731,7.24,2.3,0,2
01-01-2024 01:50,62,61,5754,6.99,3.8,0,2
01-01-2024 01:51,72,60,6175,7.41,2.9,0,2
01-01-2024 01:52,72,59,6200,7.7,1.5,0,2
01-01-2024 01:53,84,57,7262,7.28,3.6,0,2
01-01-2024 01:54,71,58,5924,7.01,2.6,0,2
01-01-2024 01:55,74,62,6223,6.34,2.9,0,2
01-01-2024 01:56,72,62,6486,6.47,3.2,0,2
01-01-2024 01:57,66,57,6149,6.85,3.1,0,2
01-01-2024 01:58,78,60,5643,6.7,3.5,0,2
01-01-2024 01:59,76,62,6155,6.91,2.7,0,2
01-01-2024 02:00,76,55,6859,2.5,3.4,1,2
01-01-2024 02:01,67,62,5179,7.26,2.8,0,2
01-01-2024 02:02,79,58,6106,6.96,3.5,0,2
01-01-2024 02:03,65,62,5440,7.24,3.4,0,2
01-01-2024 02:04,75,58,6956,7.03,2.3,0,2
01-01-2024 02:05,83,55,4781,6.01,3.8,0,2
01-01-2024 02:06,67,55,5553,6.53,2.6,0,2
01-01-2024 02:07,69,60,6302,6.93,3.6,0,2
01-01-2024 02:08,72,61,7252,6.4,3.3,0,2
01-01-2024 02:09,69,57,5947,7.3,4.3,0,2
01-01-2024 02:10,64,62,5556,7.77,2.8,0,2
01-01-2024 02:11,72,55,7505,7.61,2.8,0,2
01-01-2024 02:12,67,60,4842,6.89,3,0,2
01-01-2024 02:13,74,56,4241,7.75,2.8,0,2
01-01-2024 02:14,67,58,6352,7.07,3.6,0,2
01-01-2024 02:15,80,60,5598,6.83,1.9,0,2
01-01-2024 02:16,68,57,5183,6.69,2.3,0,2
01-01-2024 02:17,70,59,6567,6.85,2.3,0,2
01-01-2024 02:18,76,63,6195,6.81,3.7,0,2
01-01-2024 02:19,66,58,5549,7.09,4.2,0,2
01-01-2024 02:20,73,63,4976,7.08,2.9,0,2
01-01-2024 02:21,79,57,6698,7,2.9,0,2
01-01-2024 02:22,64,62,6520,7.22,3,0,2
01-01-2024 02:23,73,64,5921,7.6,3.8,0,2
01-01-2024 02:24,73,53,7477,7.47,2.4,0,2
01-01-2024 02:25,76,58,5144,6.26,3.2,0,2
01-01-2024 02:26,66,62,4780,5.72,3.7,0,2
01-01-2024 02:27,65,59,5446,7.47,3.4,0,2
01-01-2024 02:28,75,61,5964,6.32,3.1,0,2
01-01-2024 02:29,73,58,6195,6.89,3.7,0,2
01-01-2024 02:30,73,60,5807,6.41,1.1,0,2
01-01-2024 02:31,74,60,6282,6.1,3.5,0,2
01-01-2024 02:32,69,64,4999,7.27,2.5,0,2
01-01-2024 02:33,73,61,7155,7.38,1.7,0,2
01-01-2024 02:34,73,61,5934,6.71,3.4,0,2
01-01-2024 02:35,68,59,6894,5.7,4,0,2
01-01-2024 02:36,81,59,6274,6.73,2.9,0,2
01-01-2024 02:37,74,59,6365,7.2,3.7,0,2
01-01-2024 02:38,66,61,6456,6.26,4.1,0,2
01-01-2024 02:39,75,59,6358,7.09,3.9,0,2
01-01-2024 02:40,67,61,6514,6.99,4.1,0,2
01-01-2024 02:41,76,66,7063,7.29,3.5,0,2
01-01-2024 02:42,78,63,6157,7.06,3.1,0,2
01-01-2024 02:43,68,59,6567,6.51,1.9,0,2
01-01-2024 02:44,77,64,5928,7.6,2.8,0,2
01-01-2024 02:45,74,59,7152,6.92,2.4,0,2
01-01-2024 02:46,76,54,5459,6.99,4.5,0,2
01-01-2024 02:47,81,57,7441,6.53,2.9,0,2
01-01-2024 02:48,71,54,5968,6.78,3.1,0,2
01-01-2024 02:49,68,59,4855,6.56,3.4,0,2
01-01-2024 02:50,68,60,6102,6.91,3,0,2
01-01-2024 02:51,68,65,5455,7.86,4.2,0,2
01-01-2024 02:52,72,61,6673,6.31,2.6,0,2
01-01-2024 02:53,74,59,5478,6.19,3.1,0,3
01-01-2024 02:54,73,62,5643,7.74,2.5,0,3
01-01-2024 02:55,76,53,4488,6.9,2.1,0,3
01-01-2024 02:56,72,61,5638,6.67,2.6,0,3
01-01-2024 02:57,79,62,4061,7.52,3,0,3
01-01-2024 02:58,71,56,4733,6.7,2.7,0,3
01-01-2024 02:59,86,63,6608,7.91,2.5,0,3
01-01-2024 03:00,75,61,6629,7.34,2,0,3
01-01-2024 03:01,68,59,6340,6.76,2.9,0,3
01-01-2024 03:02,67,62,5226,8.08,1.9,0,3
01-01-2024 03:03,74,67,5962,6.7,3.5,0,3
01-01-2024 03:04,71,61,5997,7.37,3.1,0,3
01-01-2024 03:05,76,61,5073,7.15,2,0,3
01-01-2024 03:06,74,59,7203,7.65,2.8,0,3
01-01-2024 03:07,72,57,6702,7.78,2.5,0,3
01-01-2024 03:08,68,62,5823,7.02,3.2,0,3
01-01-2024 03:09,64,57,6022,6.62,3.9,0,3
01-01-2024 03:10,70,60,6167,7.23,1.7,0,3
01-01-2024 03:11,76,59,4367,6.66,3.1,0,3
01-01-2024 03:12,73,61,5802,8.01,2.9,0,3
01-01-2024 03:13,66,61,5454,7.07,3.5,0,3
01-01-2024 03:14,73,63,5199,6.82,3.1,0,3
01-01-2024 03:15,74,58,5775,7.09,2.5,0,3
01-01-2024 03:16,68,59,7438,6.33,2.8,0,3
01-01-2024 03:17,73,57,6513,6.51,2.4,0,3
01-01-2024 03:18,72,59,5543,7.6,3.8,0,3
01-01-2024 03:19,66,61,6458,6.67,3,0,3
01-01-2024 03:20,74,62,7119,6.48,4.3,0,3
01-01-2024 03:21,75,57,6740,7.27,3,0,3
01-01-2024 03:22,77,63,6048,7.59,2.5,0,3
01-01-2024 03:23,77,64,5482,7.36,1.9,0,3
01-01-2024 03:24,65,61,6559,7.5,1.7,0,3
01-01-2024 03:25,67,66,6315,6.62,1.9,0,3
01-01-2024 03:26,75,58,6716,6.29,3.2,0,3
01-01-2024 03:27,75,56,6508,7.75,3.4,0,3
01-01-2024 03:28,75,55,6840,6.84,1.9,0,3
01-01-2024 03:29,91,64,5572,6.87,3.6,0,3
01-01-2024 03:30,75,62,7054,7.66,2.7,0,3
01-01-2024 03:31,78,60,6158,7.28,3.1,0,3
01-01-2024 03:32,77,61,7660,7.23,4.1,0,3
01-01-2024 03:33,75,57,5449,8.08,3.6,0,3
01-01-2024 03:34,70,67,7389,6.68,2.8,0,3
01-01-2024 03:35,76,60,6158,7.46,2.4,0,3
01-01-2024 03:36,68,60,5479,7.03,1.5,0,3
01-01-2024 03:37,71,62,5613,7.13,2.5,0,3
01-01-2024 03:38,70,61,5744,7.76,2.9,0,3
01-01-2024 03:39,72,61,6339,7.25,2.3,0,3
01-01-2024 03:40,84,58,6418,7.27,2.9,0,3
01-01-2024 03:41,63,61,5541,7.54,3.1,0,3
01-01-2024 03:42,75,66,5981,6.82,2.8,0,3
01-01-2024 03:43,64,64,7714,6.58,2.5,0,3
01-01-2024 03:44,70,65,7382,6.48,3.1,0,3
01-01-2024 03:45,77,58,6349,6.02,3.3,0,3
01-01-2024 03:46,72,57,6030,8.03,2.2,0,3
01-01-2024 03:47,67,60,6096,6.45,4,0,3
01-01-2024 03:48,68,60,6491,6.89,2.9,0,3
01-01-2024 03:49,75,63,5182,6.86,3,0,3
01-01-2024 03:50,68,55,5794,7.15,3.5,0,3
01-01-2024 03:51,73,65,4665,7.41,3.2,0,3
01-01-2024 03:52,72,60,6319,7.43,3.7,0,3
01-01-2024 03:53,69,59,6518,6.71,3.2,0,3
01-01-2024 03:54,83,57,5613,6.92,2.6,0,3
01-01-2024 03:55,75,55,7259,7.14,3.3,0,3
01-01-2024 03:56,62,62,5019,6.88,2.2,0,3
01-01-2024 03:57,73,60,4829,7.8,3.1,0,3
01-01-2024 03:58,69,56,6180,7.25,3,0,3
01-01-2024 03:59,76,56,6838,7.37,2.9,0,3
01-01-2024 04:00,68,59,7347,7.33,2.9,0,3
01-01-2024 04:01,71,65,5633,7.59,1.7,0,3
01-01-2024 04:02,75,59,6863,7.09,2.6,0,3
01-01-2024 04:03,76,55,5969,6.35,3.1,0,3
01-01-2024 04:04,66,59,5862,7.2,3.1,0,3
01-01-2024 04:05,70,59,18000,6.67,2.3,1,3
01-01-2024 04:06,70,52,6522,6.74,3.9,0,3
01-01-2024 04:07,69,60,4739,7.29,2.4,0,3
01-01-2024 04:08,81,59,7181,7.62,3.7,0,4
01-01-2024 04:09,74,62,7104,7.01,3.3,0,4
01-01-2024 04:10,66,66,5500,7.15,2.5,0,4
01-01-2024 04:11,77,63,6317,7.85,4.2,0,4
01-01-2024 04:12,83,59,6395,7.12,2.2,0,4
01-01-2024 04:13,77,57,6209,8.3,3.6,0,4
01-01-2024 04:14,64,68,5560,7.28,3.7,0,4
01-01-2024 04:15,70,60,5463,6.12,2.5,0,4
01-01-2024 04:16,78,60,5980,7.38,4,0,4
01-01-2024 04:17,68,60,6938,7.19,2.8,0,4
01-01-2024 04:18,74,61,6435,7.64,3.2,0,4
01-01-2024 04:19,76,60,5704,7.34,3.2,0,4
01-01-2024 04:20,67,58,6617,6.93,2.9,0,4
01-01-2024 04:21,72,58,3721,6.39,3.6,0,4
01-01-2024 04:22,56,60,6919,6.9,3.6,0,4
01-01-2024 04:23,67,58,4608,6.57,1.8,0,4
01-01-2024 04:24,71,58,5710,6.71,3.9,0,4
01-01-2024 04:25,66,60,5104,7.29,1.8,0,4
01-01-2024 04:26,80,59,4964,7.83,3.7,0,4
01-01-2024 04:27,65,65,6929,7.2,3.8,0,4
01-01-2024 04:28,70,52,5626,6.4,2.2,0,4
01-01-2024 04:29,73,63,6277,7.22,2.7,0,4
01-01-2024 04:30,79,64,5962,7.6,2.2,0,4
01-01-2024 04:31,65,54,6382,6.7,2.8,0,4
01-01-2024 04:32,78,59,6061,6.93,2.8,0,4
01-01-2024 04:33,72,59,4974,7.01,3.5,0,4
01-01-2024 04:34,67,56,6797,6.61,3.9,0,4
01-01-2024 04:35,74,58,5605,7.32,4,0,4
01-01-2024 04:36,73,57,4755,6.94,2.6,0,4
01-01-2024 04:37,69,65,5658,7.21,2.9,0,4
01-01-2024 04:38,72,63,7201,6.56,1.8,0,4
01-01-2024 04:39,70,64,6680,6.78,2.4,0,4
01-01-2024 04:40,73,62,5721,7.36,3.7,0,4
01-01-2024 04:41,75,57,5721,6.81,4.1,0,4
01-01-2024 04:42,80,58,5743,7.86,2.1,0,4
01-01-2024 04:43,66,61,7661,6.8,2.6,0,4
01-01-2024 04:44,83,56,6306,7.11,3,0,4
01-01-2024 04:45,62,62,6344,7.47,3.2,0,4
01-01-2024 04:46,71,59,6824,6.29,2.4,0,4
01-01-2024 04:47,75,59,6191,6.12,3.3,0,4
01-01-2024 04:48,73,62,5793,6.24,2.7,0,4
01-01-2024 04:49,69,61,5843,7.63,3,0,4
01-01-2024 04:50,71,59,5943,6.72,3.4,0,4
01-01-2024 04:51,70,63,5970,8.28,3,0,4
01-01-2024 04:52,69,57,6582,6.72,2.7,0,4
01-01-2024 04:53,76,62,6042,7.09,2.9,0,4
01-01-2024 04:54,74,62,6586,7.77,2.9,0,4
01-01-2024 04:55,69,59,5935,8,2.7,0,4
01-01-2024 04:56,76,61,6063,8.03,2.8,0,4
01-01-2024 04:57,74,56,4401,7.6,4.1,0,4
01-01-2024 04:58,76,63,6733,7.51,3.4,0,4
01-01-2024 04:59,75,59,6277,7.3,2.8,0,4
01-01-2024 05:00,68,58,6798,7.39,3.5,0,4
01-01-2024 05:01,69,63,3683,6.72,2.8,0,4
01-01-2024 05:02,76,58,7671,6.59,3.8,0,4
01-01-2024 05:03,75,56,5888,7,3.3,0,4
01-01-2024 05:04,72,55,6887,6.91,2.9,0,4
01-01-2024 05:05,73,62,5168,6.77,3.3,0,4
01-01-2024 05:06,78,56,6490,7.35,1.9,0,4
01-01-2024 05:07,69,65,5157,7.48,2.2,0,4
01-01-2024 05:08,75,54,5501,7.04,2.2,0,4
01-01-2024 05:09,71,65,7531,7.74,3.1,0,4
01-01-2024 05:10,71,61,5847,6.43,8.5,1,4
01-01-2024 05:11,77,60,6174,6.9,4.6,0,4
01-01-2024 05:12,76,58,6696,6.64,3.4,0,4
01-01-2024 05:13,76,61,6397,6.07,3.4,0,5
01-01-2024 05:14,79,60,6120,6.96,1.7,0,5
01-01-2024 05:15,72,63,6292,6.94,2.6,0,5
01-01-2024 05:16,75,60,7923,7.76,2.4,0,5
01-01-2024 05:17,70,60,5954,7.32,2.6,0,5
01-01-2024 05:18,74,59,6161,6.49,2.9,0,5
01-01-2024 05:19,71,60,6841,7.93,2.7,0,5
01-01-2024 05:20,72,61,6884,7.61,1.6,0,5
01-01-2024 05:21,75,55,6950,7.29,3.5,0,5
01-01-2024 05:22,68,56,6511,6.89,2.2,0,5
01-01-2024 05:23,82,62,5086,6.52,3.2,0,5
01-01-2024 05:24,67,61,7307,6.81,4.5,0,5
01-01-2024 05:25,66,59,5083,7.54,2.4,0,5
01-01-2024 05:26,78,60,6242,7.94,1.2,0,5
01-01-2024 05:27,76,61,5397,7.77,2.8,0,5
01-01-2024 05:28,75,58,5949,6.76,3.8,0,5
01-01-2024 05:29,75,58,6263,6.44,4.4,0,5
01-01-2024 05:30,72,61,6257,7.07,2.1,0,5
01-01-2024 05:31,68,57,6338,6.12,3.3,0,5
01-01-2024 05:32,72,61,7291,7.16,2.7,0,5
01-01-2024 05:33,69,55,6363,6.93,2.9,0,5
01-01-2024 05:34,77,63,5805,6.77,4.9,0,5
01-01-2024 05:35,71,61,6771,6.2,1.9,0,5
01-01-2024 05:36,68,61,6952,7.26,3.2,0,5
01-01-2024 05:37,70,63,5018,6.73,3.3,0,5
01-01-2024 05:38,74,65,6478,6.42,3.8,0,5
01-01-2024 05:39,69,63,6561,5.56,3.1,0,5
01-01-2024 05:40,68,54,5762,6.99,3.2,0,5
01-01-2024 05:41,73,56,7101,7.89,2.7,0,5
01-01-2024 05:42,73,58,5880,7.83,3.2,0,5
01-01-2024 05:43,69,60,6100,6.77,2.8,0,5
01-01-2024 05:44,70,62,5862,6.7,3.4,0,5
01-01-2024 05:45,73,58,6012,7.23,2.7,0,5
01-01-2024 05:46,65,61,5123,6.5,3.3,0,5
01-01-2024 05:47,65,58,4848,7.15,3,0,5
01-01-2024 05:48,68,58,7276,7.38,3.8,0,5
01-01-2024 05:49,71,56,5322,7.61,3,0,5
01-01-2024 05:50,74,57,5207,6.95,1.8,0,5
01-01-2024 05:51,79,56,4277,6.9,3.9,0,5
01-01-2024 05:52,76,57,5489,6.56,2.4,0,5
01-01-2024 05:53,71,63,4942,6.59,2.5,0,5
01-01-2024 05:54,72,57,7314,6.89,2.6,0,5
01-01-2024 05:55,67,68,6808,7.18,4,0,5
01-01-2024 05:56,72,61,5449,7.46,1.5,0,5
01-01-2024 05:57,71,61,7802,6.6,5.2,0,5
01-01-2024 05:58,74,57,6785,7.75,3.7,0,5
01-01-2024 05:59,68,62,5740,6.86,3.2,0,5
01-01-2024 06:00,75,58,4000,6.99,3,0,5
01-01-2024 06:01,80,60,7833,6.63,3.2,0,5
01-01-2024 06:02,71,68,4888,5.79,3.4,0,5
01-01-2024 06:03,74,60,4684,7.44,3.5,0,5
01-01-2024 06:04,75,63,6818,7.37,3.4,0,5
01-01-2024 06:05,38,58,7952,6.86,3.1,1,5
01-01-2024 06:06,73,60,7107,7.03,2.9,0,5
01-01-2024 06:07,72,65,6451,7.26,2.9,0,5
01-01-2024 06:08,72,58,6476,6.22,2.9,0,5
01-01-2024 06:09,68,65,6683,6.74,3.8,0,5
01-01-2024 06:10,72,62,6607,7.4,3.4,0,5
01-01-2024 06:11,74,58,6225,6.37,0.9,0,5
01-01-2024 06:12,79,62,6083,7.15,3.5,0,5
01-01-2024 06:13,77,63,5950,6.32,3.1,0,5
01-01-2024 06:14,83,62,5397,7.23,3,0,5
01-01-2024 06:15,68,55,5775,6.98,2.7,0,5
01-01-2024 06:16,76,58,4646,6.19,3.8,0,5
01-01-2024 06:17,73,59,5921,7.58,3.7,0,5
01-01-2024 06:18,83,60,5209,6.63,2.5,0,5
01-01-2024 06:19,68,62,5117,6.59,3.3,0,5
01-01-2024 06:20,68,61,6144,7.1,2.3,0,5
01-01-2024 06:21,69,56,7114,7.57,2,0,5
01-01-2024 06:22,61,61,6735,6.49,2.6,0,5
01-01-2024 06:23,69,62,4744,7.03,3.6,0,5
01-01-2024 06:24,68,62,5208,7.21,3.7,0,5
01-01-2024 06:25,73,63,6753,7.35,3.4,0,5
01-01-2024 06:26,74,63,5214,7.09,3.5,0,5
01-01-2024 06:27,81,61,5820,6.82,3.4,0,5
01-01-2024 06:28,77,60,6440,6.59,2.6,0,5
01-01-2024 06:29,69,55,5225,7.04,3.3,0,5
01-01-2024 06:30,68,61,6084,6.46,3.6,0,5
01-01-2024 06:31,74,61,4933,5.54,3.5,0,5
01-01-2024 06:32,65,61,5519,7.22,3.8,0,5
01-01-2024 06:33,81,56,6256,7.45,3.5,0,5
01-01-2024 06:34,78,57,4726,5.82,3.2,0,5
01-01-2024 06:35,70,63,6352,6.5,3.7,0,5
01-01-2024 06:36,63,60,5984,7.31,3,0,5
01-01-2024 06:37,79,62,6442,8.03,2.4,0,5
01-01-2024 06:38,71,60,6179,7.01,2.9,0,5
01-01-2024 06:39,78,60,7091,6.64,2.5,0,5
